"","title","artist","label","source","rmd_file","capo","year","tempo","time"
"63","Vo Luzern gäge Wäggis zue","Johann Lüthi","#volkslieder-vo-luzern","01_songs_input/05_Volkslieder/vo_Luzern.txt","02_songs_output/68_vo_Luzern.Rmd",NA,NA,NA,NA
"64","Lied des Zigeuners","ean Portier und Dietmar Janz","#volkslieder-ich-kenne-europas-zonen","01_songs_input/05_Volkslieder/ich_kenne_europas_zonen.txt","02_songs_output/69_ich_kenne_europas_zonen.Rmd",NA,NA,NA,NA
"65","Lustig ist das Zigeunerleben","anonym","#volkslieder-lustig-ist-das-zigeunerleben","01_songs_input/05_Volkslieder/lustig_ist_das_zigeunerleben.txt","02_songs_output/70_lustig_ist_das_zigeunerleben.Rmd",NA,NA,NA,NA
"66","Det äne am Bergli",NA,"#kinderlieder-det-aenet-am-bergli","01_songs_input/06_Kinderlieder/det_aenet_am_bergli.txt","02_songs_output/72_det_aenet_am_bergli.Rmd",NA,NA,NA,NA
"67","S'isch mer alles eis Ding",NA,"#kinderlieder-isch-mer-alles-eis-ding","01_songs_input/06_Kinderlieder/isch_mer_alles_eis_ding.txt","02_songs_output/73_isch_mer_alles_eis_ding.Rmd",NA,NA,NA,NA
"68","Ds Hippygspängstli","Peter Reber","#kinderlieder-hippi-gspaengstli","01_songs_input/06_Kinderlieder/Hippi_gspaengstli.txt","02_songs_output/74_Hippi_gspaengstli.Rmd",NA,NA,NA,NA
"69","S'Ramseiers wei go grase",NA,"#kinderlieder-ramseiers-wei-go-grase","01_songs_input/06_Kinderlieder/ramseiers_wei_go_grase.txt","02_songs_output/75_ramseiers_wei_go_grase.Rmd",NA,NA,NA,NA
"70",NA,NA,"#kinderlieder-traaeumli","01_songs_input/06_Kinderlieder/traaeumli.txt","02_songs_output/76_traaeumli.Rmd",NA,NA,NA,NA
"71","Min Vater isch en Appezeller",NA,"#kinderlieder-min-vatter-isch-en-appizaeller","01_songs_input/06_Kinderlieder/min_vatter_isch_en_appizaeller.txt","02_songs_output/77_min_vatter_isch_en_appizaeller.Rmd",NA,NA,NA,NA
"72","Vo Luzern of Wäggis zue",NA,"#kinderlieder-vo-luzern-gege-weggis","01_songs_input/06_Kinderlieder/vo_luzern_gege_weggis.txt","02_songs_output/78_vo_luzern_gege_weggis.Rmd",NA,NA,NA,NA
"73","S'Vogellisi","Peter Wackel","#kinderlieder-vogellisi","01_songs_input/06_Kinderlieder/vogellisi.txt","02_songs_output/79_vogellisi.Rmd",NA,NA,NA,NA
